run,loss,stage,icm,te,min_icm_te,avg_icm_te
run_20260130_205308_001,1.8424,0.9910,0.5443,0.6080,0.5443,0.5761
run_20260130_205308_002,1.8980,0.9920,0.5313,0.5871,0.5313,0.5592
run_20260130_205308_003,1.8614,0.9920,0.5542,0.6020,0.5542,0.5781
run_20260130_205308_004,1.8994,0.9920,0.5284,0.5761,0.5284,0.5522
run_20260130_205308_005,1.8908,0.9920,0.5323,0.5692,0.5323,0.5508
run_20260130_205308_006,1.8718,0.9920,0.5512,0.5900,0.5512,0.5706
run_20260130_205308_007,1.8861,0.9920,0.5114,0.5871,0.5114,0.5493
run_20260130_205308_008,1.8736,0.9920,0.5423,0.6050,0.5423,0.5736
run_20260130_205308_009,2.1918,0.9731,0.4537,0.4577,0.4537,0.4557
run_20260201_111321_020,1.9173,0.9920,0.5114,0.5632,0.5114,0.5373
run_20260201_111321_024,1.9066,0.9920,0.5463,0.5791,0.5463,0.5627
run_20260201_111321_032,1.8873,0.9920,0.5453,0.5930,0.5453,0.5692
run_20260201_111321_036,1.9166,0.9920,0.5483,0.5801,0.5483,0.5642
